Avengers: Endgame	2019	8.8	Robert Downey Jr.*Chris Evans*Mark Ruffalo*Chris Hemsworth
John Wick: Chapter 3 - Parabellum	2019	8.2	Keanu Reeves*Halle Berry*Ian McShane*Laurence Fishburne
Pokémon Detective Pikachu	2019	7.0	Ryan Reynolds*Justice Smith*Kathryn Newton*Bill Nighy
Extremely Wicked, Shockingly Evil and Vile	2019	6.7	Lily Collins*Zac Efron*Angela Sarafyan*Sydney Vollmer
Wine Country	2019	5.5	Amy Poehler*Rachel Dratch*Ana Gasteyer*Maya Rudolph
Aladdin	2019	6.0	Will Smith*Mena Massoud*Naomi Scott*Marwan Kenzari
Brightburn	2019	6.7	Elizabeth Banks*David Denman*Jackson A. Dunn*Abraham Clinkscales
Rocketman	2019	7.8	Taron Egerton*Richard Madden*Bryce Dallas Howard*Stephen Graham
Student of the Year 2	2019	2.1	Will Smith*Tara Sutaria*Ananya Panday*Alia Bhatt
Shazam!	2019	7.5	Zachary Levi*Mark Strong*Asher Angel*Jack Dylan Grazer
Long Shot	2019	7.2	Charlize Theron*Seth Rogen*June Diane Raphael*O'Shea Jackson Jr.
John Wick	2014	7.3	Keanu Reeves*Michael Nyqvist*Alfie Allen*Willem Dafoe
The Hustle	2019	5.2	Anne Hathaway*Rebel Wilson*Alex Sharp*Tim Blake Nelson
Avengers: Infinity War	2018	8.5	Robert Downey Jr.*Chris Hemsworth*Mark Ruffalo*Chris Evans
Once Upon a Time ... in Hollywood	2019	9.8	Margot Robbie*James Marsden*Leonardo DiCaprio*Brad Pitt
Captain Marvel	2019	7.1	Brie Larson*Samuel L. Jackson*Ben Mendelsohn*Jude Law
John Wick: Chapter 2	2017	7.5	Keanu Reeves*Riccardo Scamarcio*Ian McShane*Ruby Rose
Tolkien	2019	7.0	Nicholas Hoult*Lily Collins*Colm Meaney*Derek Jacobi
Cold Pursuit	2019	6.2	Liam Neeson*Laura Dern*Micheál Richardson*Michael Eklund
It	2017	7.4	Bill Skarsgård*Jaeden Martell*Finn Wolfhard*Sophia Lillis
Booksmart	2019	7.5	Kaitlyn Dever*Beanie Feldstein*Jessica Williams*Jason Sudeikis
Fighting with My Family	2019	7.3	Dwayne Johnson*Lena Headey*Vince Vaughn*Florence Pugh
Greta	2018	6.1	Isabelle Huppert*Chloë Grace Moretz*Maika Monroe*Jane Perry
The Dead Don't Die	2019	6.0	Bill Murray*Adam Driver*Alyssa Maria App*Carl Arcilesi
The Professor	2018	6.9	Johnny Depp*Rosemarie DeWitt*Odessa Young*Danny Huston
Pet Sematary	2019	6.0	Jason Clarke*Amy Seimetz*John Lithgow*Jeté Laurence
Aquaman	2018	7.1	Jason Momoa*Amber Heard*Willem Dafoe*Patrick Wilson
Glass	2019	6.8	James McAvoy*Bruce Willis*Samuel L. Jackson*Anya Taylor-Joy
Thor: Ragnarok	2017	7.9	Chris Hemsworth*Tom Hiddleston*Cate Blanchett*Mark Ruffalo
John Carter	2012	6.6	Taylor Kitsch*Lynn Collins*Willem Dafoe*Samantha Morton
Spider-Man: Into the Spider-Verse	2018	8.5	Shameik Moore*Jake Johnson*Hailee Steinfeld*Mahershala Ali
A Dog's Journey	2019	7.2	Josh Gad*Dennis Quaid*Kathryn Prescott*Marg Helgenberger
After	2019	5.6	Selma Blair*Inanna Sarkis*Hero Fiennes Tiffin*Jennifer Beals
The Intruder	2019	5.5	Dennis Quaid*Meagan Good*Michael Ealy*Joseph Sikora
BlacKkKlansman	2018	7.5	John David Washington*Adam Driver*Laura Harrier*Topher Grace
Thor	2011	7.0	Chris Hemsworth*Anthony Hopkins*Natalie Portman*Tom Hiddleston
The Curse of La Llorona	2019	5.7	Linda Cardellini*Raymond Cruz*Patricia Velasquez*Marisol Ramirez
Spider-Man: Homecoming	2017	7.5	Tom Holland*Michael Keaton*Robert Downey Jr.*Marisa Tomei
Suspiria	2018	6.8	Chloë Grace Moretz*Tilda Swinton*Doris Hick*Malgorzata Bela
Avengers: Age of Ultron	2015	7.3	Robert Downey Jr.*Chris Evans*Mark Ruffalo*Chris Hemsworth
The Last Summer	2019	5.6	K.J. Apa*Maia Mitchell*Norman Johnson Jr.*Jacob Latimore
Bohemian Rhapsody	2018	8.1	Rami Malek*Lucy Boynton*Gwilym Lee*Ben Hardy
Liu lang di qiu	2019	6.2	Jing Wu*Chuxiao Qu*Guangjie Li*Man-Tat Ng
Guardians of the Galaxy	2014	8.1	Chris Pratt*Vin Diesel*Bradley Cooper*Zoe Saldana
The Avengers	2012	8.1	Robert Downey Jr.*Chris Evans*Scarlett Johansson*Jeremy Renner
Crazy Rich Asians	2018	7.0	Constance Wu*Henry Golding*Michelle Yeoh*Gemma Chan
The Lego Movie 2: The Second Part	2019	6.8	Chris Pratt*Elizabeth Banks*Will Arnett*Tiffany Haddish
The Meg	2018	5.7	Jason Statham*Bingbing Li*Rainn Wilson*Cliff Curtis
The Mule	2018	7.1	Clint Eastwood*Patrick L. Reyes*Cesar De León*Gustavo Muñoz
Captain America: The First Avenger	2011	6.9	Chris Evans*Hugo Weaving*Samuel L. Jackson*Hayley Atwell
High Life	2018	6.0	Robert Pattinson*Juliette Binoche*André Benjamin*Mia Goth
Night School	2018	5.6	Kevin Hart*Tiffany Haddish*Rob Riggle*Romany Malco
Poms	2019	5.2	Diane Keaton*Jacki Weaver*Celia Weston*Alisha Boe
We Have Always Lived in the Castle	2018	5.7	Taissa Farmiga*Alexandra Daddario*Crispin Glover*Sebastian Stan
The Sun Is Also a Star	2019	5.7	Charles Melton*Yara Shahidi*Keong Sim*Gbenga Akinnagbe
The Matrix	1999	8.7	Keanu Reeves*Laurence Fishburne*Carrie-Anne Moss*Hugo Weaving
Men in Black: International	2019	6.6	Chris Hemsworth*Emma Thompson*Tessa Thompson*Rebecca Ferguson
Deadpool 2	2018	7.8	Ryan Reynolds*Josh Brolin*Morena Baccarin*Julian Dennison
The Predator	2018	5.4	Boyd Holbrook*Trevante Rhodes*Jacob Tremblay*Keegan-Michael Key
Green Book	2018	8.3	Viggo Mortensen*Mahershala Ali*Linda Cardellini*Sebastian Maniscalco
Iron Man	2008	7.9	Robert Downey Jr.*Gwyneth Paltrow*Terrence Howard*Jeff Bridges
Black Panther	2018	7.3	Chadwick Boseman*Michael B. Jordan*Lupita Nyong'o*Danai Gurira
Life Like	2019	5.1	Addison Timlin*James D'Arcy*Steven Strait*Drew Van Acker
Us	2019	7.3	Lupita Nyong'o*Winston Duke*Elisabeth Moss*Tim Heidecker
Maleficent	2014	7.0	Angelina Jolie*Elle Fanning*Sharlto Copley*Lesley Manville
Captain America: Civil War	2016	7.8	Chris Evans*Robert Downey Jr.*Scarlett Johansson*Sebastian Stan
Iron Sky: The Coming Race	2019	5.1	Lara Rossi*Vladimir Burlakov*Kit Dale*Tom Green
Guardians of the Galaxy Vol. 2	2017	7.7	Chris Pratt*Zoe Saldana*Dave Bautista*Vin Diesel
